ClassID,ClassName,Description,Level,Duration,Price,Category
1,Балет для Начинающих,"Введение в классические балетные техники.",Начальный,60,20.00,Балет
2,Мастерская по Хип-хопу,"Изучение популярных хип-хоп танцевальных движений и рутин.",Промежуточный,90,25.00,Хип-хоп
3,Джазовая Фьюжн,"Смешение стилей джаза с элементами современного танца.",Промежуточный,75,22.00,Джаз
4,Эксплорация Современного Танца,"Экспрессивная форма танца, объединяющая современные и балетные техники.",Продвинутый,90,27.00,Современный
5,Основы Сальсы,"Основные шаги и работа в паре в сальса танце.",Начальный,60,20.00,Сальса
6,Основы Бальных Танцев,"Введение в бальные танцы, такие как вальс, фокстрот и танго.",Начальный,60,20.00,Бальные танцы
7,Вечеринка по Латинским Танцам,"Энергичный урок, охватывающий различные стили латинских танцев.",Продвинутый,75,23.00,Сальса
8,Подготовка Уличных Танцевальных Команд,"Программа подготовки для стремящихся уличных танцевальных команд.",Продвинутый,90,28.00,Хип-хоп
9,Современная Джазовая Хореография,"Изучение хореографированных рутин в стиле современного джаза.",Промежуточный,75,24.00,Джаз
10,Интенсив по Балетной Технике,"Фокусированная тренировка по классическим балетным техникам.",Продвинутый,90,26.00,Балет
